Sample,B,CD4 T,Endothelial,Epithelial,Immune,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown,doublet
16,-4.466734155,-4.383354436,10.81370751,-2.940667037,,0.74502303,-2.537617844,-3.2764995,53.84152211,8.252610925,-0.095298141,0.561556835
16,-18.27141213,-16.78531713,10.20549089,-11.56067147,,-5.637466955,-10.04932532,-13.23380335,4.156599039,92.03403404,2.054546295,-10.37027004
16,-1.088909865,-0.863613143,-0.199692321,-0.569271538,,-0.579201693,-0.467005881,-0.702227169,-0.095298141,2.024005164,,1.66339533
16,-5.082785791,-27.36362419,3.725598598,2.126891368,,4.854209565,-0.416379524,-0.960994905,0.601750906,-3.90938907,1.791342229,15.92905627
17,77.60901232,-8.366127846,-1.195933974,-29.19689201,-53.22578326,,,-0.834308715,,-10.16236186,-34.10023507,-2.294261595
17,-8.083899934,13.87278387,-0.160128154,-3.526377708,13.94623283,,,2.024022648,,-1.361618739,-4.459993248,-6.174599204
17,-1.187282003,-0.163383124,,-0.446887269,0.432108174,,,-0.147028653,,-0.163383124,-0.692769326,1.072570759
17,-28.52148427,-3.512375842,-0.4550222,144.7935483,-34.84150922,,,-1.936471572,,3.564562232,-11.58464266,-12.52201755
17,-52.71926596,15.45718502,0.45607594,-35.71462809,110.7912645,,,-3.506720362,,-12.62579012,-42.06971888,-41.94820354
17,,,,,,,,,,,,
17,,,,,,,,,,,,
17,-0.796501872,1.170559394,-0.156812512,-2.432548704,-3.423930776,,,17.71429324,,-1.547954925,-5.408225943,4.793644505
17,,,,,,,,,,,,
17,-10.34555175,-1.404761348,-0.169725026,-1.646569413,-12.42852656,,,-1.539818814,,69.06562532,1.473828214,0.586578109
17,-35.460311,-4.216549404,-0.701340657,-11.32503278,-41.6205184,,,-5.637028475,,2.11985372,108.1214386,-7.393142754
17,-3.302873857,-5.947319422,1.16044369,-11.47503558,-45.54925841,,,4.154641504,,2.697728634,-7.171804204,38.16073531
18,110.841874,-28.847705,-5.1692487,-31.425479,-16.975082,-2.7368204,1.49137809,-53.425675,-1.5637247,-3.8370892,-22.024124,-29.218817
18,-28.634944,62.6281549,-0.0221982,-13.584001,19.0749128,2.04375319,-1.0213936,-9.3540499,-0.7481723,-0.5798533,-5.4806261,-2.7967469
18,-5.043054,0.43309444,9.13528978,-2.1895101,-1.547576,-0.1829888,-0.1633831,-2.6709758,44.8115229,-0.2765648,5.20505874,2.15851817
18,-29.86531,-13.643367,-2.1884411,117.492819,-9.8042207,-1.1551339,-0.967712,-27.234309,-0.6964409,6.53735305,-7.8924826,-3.9699375
18,-16.496081,18.9386102,-1.5446443,-9.8582535,37.6715034,-0.9262914,-0.6885101,-16.879328,-0.4944408,-1.2012609,0.025301,9.04500799
18,-2.6762855,2.06086473,-0.1771314,-1.1201305,-0.9280891,15.3067826,-0.0776931,0.86171023,-0.0633724,-0.1534322,-0.9441012,2.2796791
18,1.45189052,-1.0097394,-0.166581,-0.9750262,-0.6944653,-0.0839604,-0.0316386,4.71280329,-0.0548546,-0.1353881,-0.8042308,-2.4311152
18,-53.791753,-9.6665566,-1.8158438,-27.824671,-17.524794,0.47720208,3.28237428,89.59344,-1.7764055,-3.0764787,-18.146876,-29.69428
18,-1.5543029,-0.7440292,47.8933996,-0.6924038,-0.486699,-0.0776931,-0.0316386,-1.7416015,,-0.0708881,-0.5778228,1.77529605
18,-3.7483885,-1.1512173,-0.2717338,2.67866326,-1.1832451,-0.1534322,-0.1353881,-3.5913048,-0.0776931,10.1887402,3.77048286,-1.5013739
18,-21.862056,-5.8394776,5.74600266,-8.2550738,-0.664865,-0.9463944,-0.7968317,-18.063175,-0.5883386,7.47834057,55.1637445,10.532297
18,-31.022775,-2.4487427,3.19588997,-4.186487,9.47697173,1.15734153,-2.5935962,-30.994644,1.31386444,0.53514656,13.350408,35.2697923
19,33.1173784,1.90922075,-8.1244453,-8.6390866,,-3.4947264,4.91386035,-9.9091418,-2.4409528,-6.3427527,-2.7454079,1.05858804
